DATE,B230RC0Q173SBEA
1947-01-01,143143.0
1947-04-01,143790.0
1947-07-01,144449.0
1947-10-01,145122.0
1948-01-01,145709.0
1948-04-01,146289.0
1948-07-01,146921.0
1948-10-01,147607.0
1949-01-01,148254.0
1949-04-01,148847.0
1949-07-01,149485.0
1949-10-01,150167.0
1950-01-01,150786.0
1950-04-01,151319.0
1950-07-01,151973.0
1950-10-01,152658.0
1951-01-01,153291.0
1951-04-01,153902.0
1951-07-01,154610.0
1951-10-01,155344.0
1952-01-01,155976.0
1952-04-01,156587.0
1952-07-01,157267.0
1952-10-01,157986.0
1953-01-01,158574.0
1953-04-01,159160.0
1953-07-01,159889.0
1953-10-01,160639.0
1954-01-01,161328.0
1954-04-01,161983.0
1954-07-01,162731.0
1954-10-01,163524.0
1955-01-01,164204.0
1955-04-01,164864.0
1955-07-01,165612.0
1955-10-01,166419.0
1956-01-01,167109.0
1956-04-01,167788.0
1956-07-01,168573.0
1956-10-01,169416.0
1957-01-01,170172.0
1957-04-01,170869.0
1957-07-01,171638.0
1957-10-01,172417.0
1958-01-01,173064.0
1958-04-01,173729.0
1958-07-01,174483.0
1958-10-01,175288.0
1959-01-01,176045
