DATE,CAPUTLB00004SQ
1948-01-01,83.9243
1948-04-01,83.2488
1948-07-01,82.5096
1948-10-01,80.4134
1949-01-01,76.9048
1949-04-01,73.4775
1949-07-01,73.8471
1949-10-01,72.4424
1950-01-01,75.5711
1950-04-01,81.1239
1950-07-01,87.0240
1950-10-01,87.5353
1951-01-01,88.3349
1951-04-01,87.3992
1951-07-01,84.0852
1951-10-01,83.5080
1952-01-01,84.5467
1952-04-01,82.8574
1952-07-01,84.1963
1952-10-01,89.8075
1953-01-01,91.0258
1953-04-01,91.2838
1953-07-01,89.9562
1953-10-01,84.7477
1954-01-01,80.8032
1954-04-01,79.6767
1954-07-01,79.1232
1954-10-01,80.8184
1955-01-01,84.4645
1955-04-01,87.4043
1955-07-01,87.4830
1955-10-01,88.5527
1956-01-01,87.5453
1956-04-01,86.4917
1956-07-01,84.1539
1956-10-01,86.3631
1957-01-01,86.5210
1957-04-01,84.5961
1957-07-01,83.8886
1957-10-01,79.4514
1958-01-01,74.0657
1958-04-01,72.4060
1958-07-01,75.4322
1958-10-01,78.1743
1959-01-01,81.3723
1959-04-01,84.5589
1959-07-01,80.4988
1959-10-01,80.0757
1960-01-01,84.4715
1960-04-01,81.3180
1960-07-01,78.8989
1960-10-01,75.8523
1961-01-01,73.8284
1961-04-01,76.3543
1961-07-01,78.4144
1961-10-01,80.6409
1962-01-01,81.1862
1962-04-01,81.3356
1962-07-01,81.5601
1962-10-01,81.6344
1963-01-01,82.3156
1963-04-01,83.7831
1963-07-01,83.5563
1963-10-01,84.2037
1964-01-01,84.4956
1964-04-01,85.5448
1964-07-01,86.0569
1964-10-01,86.4920
1965-01-01,88.8660
1965-04-01,89.3981
1965-07-01,89.9023
1965-10-01,89.9839
1966-01-01,91.1196
1966-04-01,91.5667
1966-07-01,91.2437
1966-10-01,90.5907
1967-01-01,88.5845
1967-04-01,86.7784
1967-07-01,85.9545
1967-10-01,87.3031
1968-01-01,87.3223
1968-04-01,87.2683
1968-07-01,86.6559
1968-10-01,87.0764
1969-01-01,87.6424
1969-04-01,86.8891
1969-07-01,86.8019
1969-10-01,85.1309
1970-01-01,81.7925
1970-04-01,80.3910
1970-07-01,79.0788
1970-10-01,76.3386
1971-01-01,77.4766
1971-04-01,77.6020
1971-07-01,77.3485
1971-10-01,79.0741
1972-01-01,81.6797
1972-04-01,82.7544
1972-07-01,83.2838
1972-10-01,85.6664
1973-01-01,87.5940
1973-04-01,87.5499
1973-07-01,87.3357
1973-10-01,88.1202
1974-01-01,86.6272
1974-04-01,85.7897
1974-07-01,84.8291
1974-10-01,80.5849
1975-01-01,73.6142
1975-04-01,71.9711
1975-07-01,73.8549
1975-10-01,75.3232
1976-01-01,77.3448
1976-04-01,78.0670
1976-07-01,78.6740
1976-10-01,79.2961
1977-01-01,80.6958
1977-04-01,82.8440
1977-07-01,83.1476
1977-10-01,83.2143
1978-01-01,82.5909
1978-04-01,84.6340
1978-07-01,84.7200
1978-10-01,85.6981
1979-01-01,85.2910
1979-04-01,84.3443
1979-07-01,83.5729
1979-10-01,83.0058
1980-01-01,82.6217
1980-04-01,77.9205
1980-07-01,75.7440
1980-10-01,78.5134
1981-01-01,77.9900
1981-04-01,77.8699
1981-07-01,77.1951
1981-10-01,74.6979
1982-01-01,72.4172
1982-04-01,71.6107
1982-07-01,70.6343
1982-10-01,68.9016
1983-01-01,70.2769
1983-04-01,72.1716
1983-07-01,74.6368
1983-10-01,76.7028
1984-01-01,78.7261
1984-04-01,79.4839
1984-07-01,79.6140
1984-10-01,79.4572
1985-01-01,78.7925
1985-04-01,78.2548
1985-07-01,77.6979
1985-10-01,77.7075
1986-01-01,78.3166
1986-04-01,78.0997
1986-07-01,78.3139
1986-10-01,78.9213
1987-01-01,79.5352
1987-04-01,80.2671
1987-07-01,81.1740
1987-10-01,82.9493
1988-01-01,83.2446
1988-04-01,84.0013
1988-07-01,84.0637
1988-10-01,84.8062
1989-01-01,84.9014
1989-04-01,83.8186
1989-07-01,82.5471
1989-10-01,81.9825
1990-01-01,82.1956
1990-04-01,82.2108
1990-07-01,81.9386
1990-10-01,80.1218
1991-01-01,77.9720
1991-04-01,78.0375
1991-07-01,79.0932
1991-10-01,79.0524
1992-01-01,78.6715
1992-04-01,79.6624
1992-07-01,79.8584
1992-10-01,79.9225
1993-01-01,80.3463
1993-04-01,80.2488
1993-07-01,80.0450
1993-10-01,80.9720
1994-01-01,81.3877
1994-04-01,82.5523
1994-07-01,82.9627
1994-10-01,84.1184
1995-01-01,84.0725
1995-04-01,83.2218
1995-07-01,82.7821
