DATE,CAPUTLB00004SQ
1995-10-01,82.4755
1996-01-01,81.5966
1996-04-01,82.2106
1996-07-01,82.3864
1996-10-01,82.2237
1997-01-01,82.6661
1997-04-01,82.5979
1997-07-01,83.0326
1997-10-01,83.5177
1998-01-01,82.9015
1998-04-01,81.5525
1998-07-01,80.6454
1998-10-01,80.8323
1999-01-01,80.5998
1999-04-01,80.3772
1999-07-01,79.9790
1999-10-01,80.6244
2000-01-01,80.5032
2000-04-01,80.4909
2000-07-01,79.4691
2000-10-01,78.0971
2001-01-01,76.1039
2001-04-01,74.4083
2001-07-01,72.7913
2001-10-01,71.7132
2002-01-01,72.0944
2002-04-01,72.9607
2002-07-01,73.4388
2002-10-01,73.3554
2003-01-01,73.6935
2003-04-01,73.3806
2003-07-01,73.8697
2003-10-01,74.7476
2004-01-01,75.3018
2004-04-01,75.9705
2004-07-01,76.6887
2004-10-01,77.5483
2005-01-01,78.4724
2005-04-01,78.4806
2005-07-01,77.8657
2005-10-01,78.6289
2006-01-01,78.9724
2006-04-01,78.7691
2006-07-01,78.5695
2006-10-01,78.3872
2007-01-01,78.6155
2007-04-01,79.1535
2007-07-01,78.8177
2007-10-01,78.7094
2008-01-01,78.1109
2008-04-01,76.5922
2008-07-01,74.0071
2008-10-01,69.8883
2009-01-01,65.4748
2009-04-01,63.9731
2009-07-01,65.5435
2009-10-01,67.0021
2010-01-01,68.4601
2010-04-01,70.5121
2010-07-01,71.5788
2010-10-01,72.1252
2011-01-01,72.9551
2011-04-01,73.0777
2011-07-01,73.8792
2011-10-01,74.4737
2012-01-01,75.2357
2012-04-01,75.0945
2012-07-01,74.6461
2012-10-01,74.6666
2013-01-01,75.0467
2013-04-01,74.9043
2013-07-01,74.7970
2013-10-01,75.1138
2014-01-01,74.9846
2014-04-01,75.7846
2014-07-01,76.1026
2014-10-01,76.3467
2015-01-01,75.9343
2015-04-01,75.8682
2015-07-01,75.9369
2015-10-01,75.3840
2016-01-01,75.1820
2016-04-01,74.4491
2016-07-01,74.2899
2016-10-01,74.3704
2017-01-01,74.5683
2017-04-01,74.9025
2017-07-01,74.3882
2017-10-01,75.2049
2018-01-01,75.3479
2018-04-01,75.5170
2018-07-01,75.9530
2018-10-01,76.1677
